Category,Group,Label,Label,Mean,%Area,Pop
P-E,P-E,2001.jpg,2001,69.443,2.551,RAB_GP
P-E,P-E,2002.jpg,2002,104.98,27.755,RAB_GP
P-E,P-E,2003.jpg,2003,73.103,3.077,RAB_GP
P-E,P-E,2004.jpg,2004,124.617,35.888,RAB_GP
P-E,P-E,2005.jpg,2005,78.617,4.656,RAB_GP
P-E,P-E,2006.jpg,2006,70.874,1.269,RAB_GP
P-E,P-E,2007.jpg,2007,75.361,6.431,RAB_GP
P-E,P-E,2008.jpg,2008,73.858,4.364,RAB_GP
P-E,P-E,2009.jpg,2009,112.685,33.628,RAB_GP
P-E,P-E,2010.jpg,2010,141.348,46.946,RAB_GP
P-E,P-E,2011.jpg,2011,130.67,41.59,RAB_GP
P-E,P-E,2012.jpg,2012,131.899,39.535,RAB_GP
P-E,P-E,2013.jpg,2013,89.26,12.849,RAB_GP
P-E,P-E,2014.jpg,2014,129.146,33.314,RAB_GP
P-E,P-E,2015.jpg,2015,90.515,7.331,RAB_GP
P-E,P-E,2016.jpg,2016,83.15,4.668,RAB_GP
P-E,P-E,2017.jpg,2017,104.065,15.158,RAB_GP
P-E,P-E,2018.jpg,2018,106.405,18.539,RAB_GP
P-E,P-E,2019.jpg,2019,82.684,3.839,RAB_GP
P-E,P-E,2020.jpg,2020,89.505,7.734,RAB_GP
P-E,P-E,2021.jpg,2021,83.809,2.999,RAB_GP
P-E,P-E,2022.jpg,2022,94.824,12.896,RAB_GP
P-E,P-E,2023.jpg,2023,81.67,5.096,RAB_GP
P-E,P-E,2024.jpg,2024,94.311,9.603,RAB_GP
P-E,P-E,2025.jpg,2025,81.197,3.218,RAB_GP
P-E,P-E,2026.jpg,2026,79.876,3.194,RAB_GP
P-E,P-E,2027.jpg,2027,87.942,5.323,RAB_GP
P-E,P-E,2028.jpg,2028,108.577,17.298,RAB_GP
P-E,P-E,2029.jpg,2029,109.043,19.702,RAB_GP
P-E,P-E,2030.jpg,2030,67.643,0.045,RAB_GP
P-E,P-E,2031.jpg,2031,97.011,12.756,RAB_GP
P-E,P-E,2032.jpg,2032,96.438,8.344,RAB_GP
P-E,P-E,2033.jpg,2033,69.473,0.595,RAB_GP
P-E,P-E,2034.jpg,2034,113.103,22.373,RAB_GP
P-E,P-E,2035.jpg,2035,69.41,1.133,RAB_GP
P-E,P-E,2036.jpg,2036,95.42,10.59,RAB_GP
P-E,P-E,2037.jpg,2037,80.105,2.382,RAB_GP
P-E,P-E,2038.jpg,2038,88.509,6.877,RAB_GP
P-E,P-E,2039.jpg,2039,71.992,1.712,RAB_GP
P-E,P-E,2040.jpg,2040,68.684,0.985,RAB_GP
P-E,P-E,2041.jpg,2041,94.372,9.369,RAB_GP
P-E,P-E,2042.jpg,2042,88.775,8.136,RAB_GP
P-E,P-E,2043.jpg,2043,84.907,5.571,RAB_GP
P-E,P-E,2044.jpg,2044,101.189,22.185,RAB_GP
P-E,P-E,2045.jpg,2045,79.447,3.124,RAB_GP
P-E,P-E,2046.jpg,2046,78.66,3.346,RAB_GP
P-E,P-E,2047.jpg,2047,124.05,23.998,RAB_GP
P-E,P-E,2048.jpg,2048,110.792,17.613,RAB_GP
P-E,P-E,2125.jpg,2125,89.106,9.74,RAB_HU
P-E,P-E,2126.jpg,2126,135.087,35.533,RAB_HU
P-E,P-E,2127.jpg,2127,75.107,1.776,RAB_HU
P-E,P-E,2128.jpg,2128,90.166,9.269,RAB_HU
P-E,P-E,2129.jpg,2129,114.193,21.798,RAB_HU
P-E,P-E,2130.jpg,2130,88.133,8.655,RAB_HU
