Population	prob	SE	df	lower.CL	upper.CL	pref	densCex	bio15col	prefcol
1	ORL	0.977539845952011	0.0171585462879314	174	0.902985065414808	0.995110440015196	0.955079691904022	1	grey	#FA0407
2	T51	0.936968891335923	0.0265675115497475	174	0.859500851735987	0.973061557440194	0.873937782671846	1	grey	#F40A10
3	NGO	0.8465269404422	0.0456971962249604	174	0.733684806420218	0.916967123988317	0.6930538808844	1.40295458785227	#FFFF31	#E51826
4	THI	0.698117274070471	0.0724300688132356	174	0.539923168835551	0.820046656458899	0.396234548140942	1.54976135334766	#FFFF35	#CE2E4A
5	MIN	0.261480895912982	0.0768985079942982	174	0.138926272928681	0.437248923156934	-0.477038208174037	1.0608791160438	#FFFF10	#8B6FB1
6	KED	0.238625748743259	0.0744350497791101	174	0.122513257706102	0.412990935864984	-0.522748502513483	0.792543757926404	#F0F600	#8673B8
7	PKT	0.33281839074128	0.0861757224402654	174	0.188247612912865	0.517619333638038	-0.33436321851744	0.793018738021946	#F0F600	#9664A0
8	BTT	0.202859783379023	0.0810531790148573	174	0.0864482371975473	0.406310952510553	-0.594280433241955	0.79301873873174	#F2F700	#8178BF
9	OGD	0.505425843140422	0.084983195907043	174	0.343147925313758	0.666568545147272	0.010851686280845	1.96189247095723	#E6F000	#B04B77
10	OHI	0.177756523226387	0.0570468688933396	174	0.0909602303900447	0.318369056556503	-0.644486953547226	1.33029089736169	#FCFD00	#7D7CC6
11	KUM	0.349929657995439	0.0826012450444031	174	0.20816408907629	0.524313482013449	-0.300140684009121	1.9746447680572	#65A100	#97639E
12	KIN	0.209148878867647	0.0618035025458027	174	0.11229306930012	0.356039139468038	-0.581702242264706	0.984815560170667	#7DB000	#8178BF
13	BOA	0.164003398124879	0.0948642810065266	174	0.0476821886020834	0.434593480376388	-0.671993203750243	1.10982019287156	#7BAE00	#7B7EC9
14	AWK	0.269657658496828	0.0800254062709208	174	0.142052252812833	0.451559389580858	-0.460684683006345	1.78815577987153	#8AB800	#8B6FB1
15	LBV	0.16969177441354	0.0432027329797626	174	0.100380733721509	0.272371190572251	-0.66061645117292	1.71073815876094	#82B300	#7B7EC9
16	LPV	0.143417620505585	0.0451321897999303	174	0.0750015555868212	0.256909073207327	-0.713164758988829	0.618668028993671	#84B400	#7881CD
17	LPF	0.0790632907026865	0.0463475484296241	174	0.0238585290827022	0.231685285620978	-0.841873418594627	0.618668029054036	#84B400	#6D8BDE
18	FCV	0.0634041364731663	0.022026204119253	174	0.0315297309891531	0.12339577760639	-0.873191727053667	0.991817153449125	#71A800	#6B8DE1
19	ENT	0.200597144069247	0.0713555465221985	174	0.0944208185478008	0.376526078796189	-0.598805711861506	1.73543753351078	#4E9300	#8178BF
20	ZIK	0.200597164245998	0.0899383302529491	174	0.0765953958954387	0.431532336885154	-0.598805671508005	1.88457011103493	#4C9200	#8178BF
21	KAK	0.18931325194841	0.0529315836092824	174	0.105723727284117	0.315663730143245	-0.621373496103179	1.67977601114331	#488F00	#7E7BC4
22	SYL	0.109687401971751	0.0364243131627779	174	0.0557193117679274	0.204601418033365	-0.780625196056497	1.68690331660659	#488F00	#7287D7
23	VMB	0.195940909738556	0.0465142065490918	174	0.119774352789917	0.303824712863649	-0.608118180522888	1.6667959369465	#488F00	#8079C1
24	RAB	0.24068286680614	0.0537256397315129	174	0.150695175632723	0.361532311707026	-0.518634266387719	1.83199845966341	#7DB000	#8872B5
25	KBO	0.299918274940258	0.0696720245891502	174	0.182037514199848	0.451956078597593	-0.400163450119485	1.85113561972791	#7FB100	#8F6AA9
26	KWA	0.247929467193049	0.0635600516434699	174	0.143998215227488	0.392479867426396	-0.504141065613903	1.34686800050205	#77AC00	#8872B5
27	SHM	0.2319144130167	0.0602902658734237	174	0.134057207800762	0.370630402201331	-0.5361711739666	1.34985960233265	#7BAE00	#8673B8
28	GND	0.190181839236439	0.0605497145638251	174	0.0975471169481966	0.33785289546786	-0.619636321527121	1.59510154194446	#9AC100	#8079C1
29	ABK	0.189967404208209	0.0561014858097678	174	0.102496321191685	0.32505130181622	-0.620065191583582	1.4559057972199	#88B700	#7E7BC4
