Location	Latitude	Longitude	Region	plotLat	plotLong	code	habitat	regional_habitat	dens2_5min	dens5	dens10	dens15	dens20	dens25	dens30	dens35	dens40	dens45	dens50	dens60	dens70	dens80	dens90	dens100	dens200	dens300	bio15_5	bio15_10	bio15_15	bio15_20	bio15_25	bio15_30	bio15_35	bio15_40	bio15_45	bio15_50	bio15_60	bio15_70	bio15_80	bio15_90	bio15_100	bio15_200	bio15_300	bio18_5	bio18_10	bio18_15	bio18_20	bio18_25	bio18_30	bio18_35	bio18_40	bio18_45	bio18_50	bio18_60	bio18_70	bio18_80	bio18_90	bio18_100	bio18_200	bio18_300	bio.bio1	bio.bio2	bio.bio3	bio.bio4	bio.bio5	bio.bio6	bio.bio7	bio.bio8	bio.bio9	bio.bio10	bio.bio11	bio.bio12	bio.bio13	bio.bio14	bio.bio15	bio.bio16	bio.bio17	bio.bio18	bio.bio19	pref	prob	densCex	bio15col	prefcol
17	Ngoye	14.63960875	-16.43174115	DAK	18	-16	NGO	R	rural	246.654571533203	237.645146687826	225.788062600528	228.609440523035	232.673748924619	241.082415289628	248.048535333163	250.445486607759	255.000249973013	258.591762442338	263.67487813556	262.671399048521	253.46312130865	243.843848566594	238.695740954811	261.480894477119	234.348147526461	136.180545284151	158.324851300923	158.202867006437	158.068202105985	157.760766356758	157.525687643001	157.28724811781	157.089761081963	156.818153872591	156.650211661186	156.487714012138	156.274143446112	156.081695204199	155.768396394289	155.292019342607	154.741717512543	149.548587081464	146.783516074229	126.333333333333	126.176470588235	131.882352941176	135.714285714286	145.526315789474	156.949275362319	163.244565217391	169.818181818182	173.993421052632	177.248677248677	182.352833638026	190.769230769231	194.591295116773	190.864721485411	183.733535200606	129.273225469729	112.204711087975	27.2313438824245	15.1194920413709	74.3321124252145	165.153992780342	36.8517459082225	16.514476291717	20.3372696165055	28.165513149645	26.4471322771103	28.7127724299355	24.7512486775716	502.095238095238	195.52380952381	0	157.760766356758	442.095238095238	1.20634920634921	135.714285714286	3	0.6930538808844	0.8465269404422	1.40295458785227	#FFFF31	#E71623
24	Thies	14.75784115	-16.93863845	DAK	16	-20	THI	U	urban	490.554321289062	490.554313659668	489.218406677246	449.08248721852	421.116158407243	428.974603711944	463.105415174696	462.283639767749	458.25793810244	696.695150637159	958.861104397471	1149.41605077121	1058.32856368229	905.641519785336	786.222195833104	692.410251580124	308.581706590104	161.889166718432	159.248064729731	159.372742598719	159.549052772756	159.797530294808	159.713163403425	159.847012017714	159.848903668106	159.873039684537	159.842552715778	159.765204050619	159.685564025555	159.412787509104	159.105985025009	158.717340980811	158.217049191363	152.010509895658	148.439608099606	328	314.1875	320.823529411765	325.081967213115	330.494845360825	332.511111111111	327.237288135593	317.518518518519	308.749019607843	299.320945945946	280.254545454545	264.197064989518	253.876736111111	250.167638483965	245.321384425216	151.648913043478	122.630580539657	26.3444617289663	13.1970764821996	70.9909438870396	166.785321754712	35.440131203073	16.858754048582	18.581377154491	27.7380873883357	25.4194208207678	27.8574753432977	24.0032459008889	473.573770491803	186.786885245902	0	159.797530294808	416.540983606557	0.786885245901639	325.081967213115	3.08196721311475	0.396234548140942	0.698117274070471	1.54976135334766	#FFFF35	#D02D47
16	Mindin	14.07473585	-15.28339615	MIN	12	-18	MIN	R	rural	32.5951309204102	32.5951309204102	38.1139694213867	44.9782186395982	53.6054745658499	58.6901785599558	61.2239214579264	63.7474931252969	66.4838405499243	67.8738314934026	69.9286989312423	74.1874250544733	77.2647925425733	81.3482692757833	87.525843041256	91.3772656617972	95.4958853918059	108.878218967498	140.693433280784	140.619285261492	140.428877835541	140.43191754459	140.447144767105	140.522920518887	140.616920612551	140.774216194101	140.883714297052	141.032308527153	141.232459855361	141.462913378401	141.717399318771	141.963848179203	142.186036023039	143.630301838041	142.071921431737	58.75	59.0666666666667	59.7058823529412	59.9508196721311	60.0736842105263	60.0962962962963	60.0108108108108	59.7283950617284	59.6111111111111	59.4105263157895	59.5677655677656	59.6145552560647	59.6628865979381	59.7090464547677	60.5628306878307	98.0106164383562	100.706882517862	27.430868899236	14.5103059726986	69.6415837208503	200.530508018485	36.7528522679063	15.9182950629563	20.8345572049501	27.3487650813952	27.8451913145722	29.943420780161	24.82581424192	608.950819672131	195.83606557377	0	140.43191754459	494.344262295082	0.0819672131147541	59.9508196721311	2.04918032786885	-0.477038208174037	0.261480895912982	1.0608791160438	#FFFF10	#8B6FB1
9	Kedougou	12.55867615	-12.18635415	KED	8	-8	KED	R	rural	12.2911186218262	12.2911183834076	12.2911182641983	12.2911182352014	12.2497117245784	11.9549325290479	11.73123760293	11.4973966254563	11.1940930315073	11.1216453883959	11.7881692115297	14.4549765789201	15.7289243254191	17.8306687983914	19.550469530582	20.7894035731746	26.228202928056	29.6814487970502	124.470482010475	124.442280595782	124.543391166296	124.439532167538	124.267977121834	124.209497571496	124.103673015206	124.071014656382	123.995432471283	123.99238178089	123.769734291571	123.700818395197	123.669856145094	123.669080911777	123.667913698199	123.205274913142	123.73469172829	54.5	54.875	54.2702702702703	54.7540983606557	55.4947368421053	55.8248175182482	56.3387978142077	56.701244813278	57.2709030100334	57.6329787234043	59.5276752767528	60.6738836265223	61.6149068322981	62.4699093157461	63.3069241011984	91.9479011116642	107.682624113475	28.3135983800627	12.6852731756825	63.2792582704708	249.475819908008	38.0275413012895	17.9820327758789	20.0455085254106	26.6654316584269	27.6572896509223	32.0275629491754	26.1173880009052	1120.08196721311	305.967213114754	0	124.439532167538	810.344262295082	2.01639344262295	54.7540983606557	7.31147540983607	-0.522748502513483	0.238625748743259	0.792543757926404	#F0F600	#8872B5
20	PK10	12.60970505	-12.2474927	KED	8	-12	PKT	F	rural	12.2911195755005	12.2911183834076	12.2911182812282	12.2911182948521	12.291118194317	12.2872526068436	12.1944248305427	11.820322080092	11.6087585801406	11.4191259371689	11.474717927297	13.2355276440957	15.0248077738544	16.5411727684588	18.5882311907469	20.0018594646264	26.2850998697618	29.6604269090333	125.097468105478	125.013944026351	125.059557198421	124.935948419411	124.781070924181	124.712333360297	124.591559007194	124.521538786794	124.457361634879	124.430577155475	124.32694918794	124.178188620545	124.103442945622	124.088812312341	124.071713835676	123.73726330248	124.300789662769	51.5	52.1428571428571	52.1142857142857	52.5	53.0736842105263	53.2740740740741	53.9197860962567	54.3692946058091	54.843137254902	55.152	56.3031423290203	57.7989130434783	58.8760330578512	59.7647058823529	60.6987392169874	90.5616392898623	105.255352133471	28.3298218675043	12.6641493419121	63.223476739375	249.567877387843	38.0365520345754	18.0074482292965	20.0291038052789	26.6977011033858	28.051333389063	32.0382415015122	26.1155517457545	1106.10344827586	303.568965517241	0	124.935948419411	803.551724137931	2.22413793103448	52.5	7.3448275862069	-0.33436321851744	0.33281839074128	0.793018738021946	#F0F600	#9664A0
3	Bantata	12.6749906	-12.3270609	KED	8	-16	BTT	F	rural	12.2911176681519	12.2911179065704	12.291117922465	12.2911182045937	12.291118256251	12.2910488429822	12.2677783825818	12.0774486142656	11.8121603840173	11.6983142023772	11.7370833007913	12.0099946731131	14.3011981900706	15.5558727076634	17.1653773247659	18.9598214205947	26.5218162335564	29.7941468617296	125.218236642998	125.402238507874	125.375173634592	125.458034870933	125.422242507256	125.430934089313	125.333969631824	125.250880634326	125.146100895145	125.01698073252	124.860410480664	124.719586184357	124.688328324731	124.68942078818	124.705303547018	124.43587708122	124.991047356019	50.75	50.2666666666667	50.21875	49.8833333333333	49.8947368421053	49.8602941176471	50.3097826086956	50.8024691358025	51.4411764705882	52.1052631578947	53.1236162361624	54.4559023066486	55.3471502590674	56.04095004095	58.3073852295409	88.6349601593625	102.323028111857	28.2500944826338	12.4561443858676	63.0387217681647	248.309702085541	37.8090003967285	18.0521333694458	19.7568670272827	26.6416999604967	28.2150778346592	31.9285111851162	26.0292445023855	1085.75	299.65	0	125.458034870933	792.016666666667	2.23333333333333	49.8833333333333	7.13333333333333	-0.594280433241955	0.202859783379023	0.79301873873174	#F2F700	#8178BF
18	Ouaga	12.37455556	-1.49805556	OGD	14	2	OGD	U	urban	4960.25390625	4960.25402832031	4404.77284240723	3484.33588695526	2153.80041936239	1482.66659723918	1021.30601877325	779.029748916626	607.836888620805	507.013828541103	424.393224463892	321.109396248286	259.160020062181	219.150727277006	193.181671736464	174.635817991274	94.1170189279369	67.0112759809688	119.31841804463	119.681723799125	119.709673654777	119.756911534367	119.806531278479	119.747304336788	119.748760911573	119.717187688686	119.701378137597	119.710430812249	119.723122948352	119.738652540798	119.747840143	119.783062777255	119.824880586676	119.979615073201	119.413326941709	90.25	108.0625	111	108.716666666667	106.233333333333	104.757352941176	104.663043478261	104.734693877551	104.766447368421	105.632275132275	106.734317343173	106.254098360656	106.03441084463	106.641680395387	107.412117177097	111.913210061636	108.234968237554	28.2480888896518	13.6251110977597	63.6180972705552	261.240149627629	37.8772668202718	16.4600665728251	21.4172002474467	27.1718333827125	25.5195555845896	31.6600999938117	25.3811444706387	729.633333333333	209.9	0	119.756911534367	504.5	1.33333333333333	108.716666666667	1.55	0.010851686280845	0.505425843140422	1.96189247095723	#E6F000	#B24975
19	Ouahi	13.583331	-2.416665	OHI	16	-2	OHI	R	rural	306.648071289062	306.648071289062	272.043405532837	228.59245967865	172.597373167674	142.187745861385	122.245239398059	110.47852037264	100.363340784292	93.2682355956027	87.1714315213655	78.6915969217525	72.7032391152731	68.8706533665964	66.3747492150256	64.2650031170731	75.4584265074905	56.7177008297248	130.568339032215	130.728797378523	130.683719007153	130.558075677085	130.481590830087	130.409475105573	130.376165830227	130.317621913472	130.276409550406	130.238249117417	130.187472500581	130.175406353706	130.144872786249	130.078637364572	130.02328653752	130.00354587415	129.916301930847	114.25	114	114.15625	114.35	114.391304347826	114.485294117647	114.532608695652	114.631147540984	113.904605263158	111.310526315789	108.299632352941	105.153116531165	102.703742203742	100.703125	98.9675066312997	93.2880344713291	90.0122004997795	27.9916333019733	14.0271888189846	63.8173239872832	268.106751477966	38.1327998479207	16.1528001626333	21.9799996852875	27.2216888692644	24.749311041832	31.449988799625	24.749311041832	556.516666666667	172.933333333333	0	130.558075677085	416.266666666667	0.05	114.35	0.05	-0.644486953547226	0.177756523226387	1.33029089736169	#FCFD00	#7E7BC4
11	Kumasi	6.67544745	-1.5665543	KUM	2	-2	KUM	U	urban	10764.755859375	10140.1643880208	6267.80419616699	3801.56865437826	2264.55323460897	1532.36185905055	1165.06569011946	907.222064804245	743.042105674744	611.583521143595	523.575145497959	393.287184624019	316.40667777489	268.700475262641	235.55079746961	211.705443475887	173.150576225999	128.266503566462	52.9755783476105	53.4514281992418	53.7619984266705	53.9850200086533	54.2229969174234	54.3433732088928	54.5533633546718	54.6342128254126	54.7801411005475	54.861800057699	55.0685011370073	55.2461263591037	55.3970399831195	55.4956469304981	55.593753736216	58.8151936830572	63.2321656266818	342.666666666667	337.933333333333	334.636363636364	332.283333333333	329.273684210526	327.601503759398	325.269230769231	323.944444444444	322.17	321.008174386921	318.40712945591	316.049655172414	313.869336143309	312.582847626978	311.372376438727	291.825004323016	265.345905074246	25.8209972249137	9.20066108173794	73.6406828409686	108.70074737352	31.4454666455587	18.9519334793091	12.4935331662496	26.310277806388	26.3127222061157	27.1545555379656	24.3617666933272	1344.41666666667	199.166666666667	13	53.9850200086533	511.883333333333	99.0166666666667	332.283333333333	367.75	-0.300140684009121	0.349929657995439	1.9746447680572	#65A100	#99619B
10	Kintampo	8.052798	-1.725279	KIN	4	-6	KIN	R	rural	22.1641387939453	31.3160343170166	36.8984082539876	35.715794282801	37.2265751948122	36.5554614920365	37.3541178062781	37.6716747909296	39.5130730286623	41.3356655204056	43.7478120082134	47.561935783772	49.0114902441318	47.4776840869736	45.90400837861	46.7112774385614	80.1999589910152	77.4538028892031	65.8305425229512	65.7008344898306	65.8514015395793	65.8939298004222	66.0825107514786	66.208104249688	66.4010381470593	66.5334462267408	66.6790419623119	66.7742318067729	67.0642120342727	67.3434975442699	67.6077827513526	67.8122811880696	68.0029361934335	69.2254755337358	70.2313964471621	224.666666666667	226.933333333333	224.970588235294	224.409836065574	222.621052631579	221.417910447761	219.781420765027	219.012820512821	218.040268456376	217.735135135135	216.001872659176	214.456043956044	213.351153039832	212.770573566085	212.294871794872	212.438236284079	219.078402034862	26.6789125770819	9.81880875363376	69.8841193966861	145.372177719397	33.1352131953005	19.0844588357894	14.0507543595111	25.9374098126354	27.5328633980673	28.6254864051694	24.9296939516328	1152.49180327869	185.590163934426	4.45901639344262	65.8939298004222	444.229508196721	35.5081967213115	224.409836065574	429.967213114754	-0.581702242264706	0.209148878867647	0.984815560170667	#7DB000	#8376BD
4	Boabeng	7.708767	-1.6973721	KIN	4	2	BOA	F	rural	56.7583503723145	56.7583503723145	56.7331660134452	57.4251372814178	67.0361070304081	77.3452295515272	82.8398172509579	87.3149661179427	87.231259770754	84.8930199752153	80.8541021881103	74.0699471822425	73.7549267552834	73.5459020878749	72.9300291575957	73.3505842615009	86.7075715558442	103.85406384908	63.9483594156315	64.1588871874996	64.1416297041815	64.1707466524991	64.0955476838491	64.1663717795593	64.1702831307045	64.2196917123687	64.2352627836253	64.2999967253321	64.3940236472813	64.4947918220273	64.5960141972989	64.7138506360133	64.8077034173687	65.7434167045717	67.7468933411138	245.25	241.928571428571	242.84375	242.568965517241	243.544444444444	242.618320610687	242.664835164835	242.142857142857	242.254125412541	241.648	240.522388059701	239.349447513812	238.337209302326	237.295587010824	236.675202156334	235.526218175687	232.572041553749	26.1516637747315	9.63818960080202	71.4061709716281	131.542948274412	32.3628273010254	18.8641378797334	13.498689421292	25.5529770303047	26.8993333235554	27.8850229471579	24.5359310007643	1182.3275862069	181.672413793103	4.98275862068965	64.1707466524991	455.655172413793	42.3965517241379	242.568965517241	411.879310344828	-0.671993203750243	0.164003398124879	1.10982019287156	#7BAE00	#7B7EC9
