Trial,Colony,Day,TrialOnDay,DOW,Date,Hatch,Age,Host,Species,Country,Hu,Time,N,N_Alt,N_Hu,Flow,Notes,Population
1,VR1-10B,1,1,M,16-Apr,23-Mar,10,Moja,GP,Kenya,L,12,98,34,31,0.63,,RAB
2,FR1-20A,1,2,M,16-Apr,23-Mar,10,Moja,GP,Kenya,L,12:20,100,21,36,0.63,,KBO
3,VA1-10,1,3,M,16-Apr,23-Mar,10,Moja,GP,Kenya,L,12:45,83,20,15,0.63,,GND
4,FA1-20,1,4,M,16-Apr,23-Mar,10,Moja,GP,Kenya,L,1:15,100,17,19,0.63,,ABK
5,VS1-10,1,5,M,16-Apr,23-Mar,10,Moja,GP,Kenya,L,1:35,90,26,19,0.63,Fan late,KWA
6,FS1-10,1,6,M,16-Apr,23-Mar,10,Moja,GP,Kenya,L,2:00,62,15,17,0.63,,SHM
7,CK1-5,1,7,M,16-Apr,23-Mar,10,Moja,GP,Kenya,L,2:30,91,35,12,0.63,"Fan slipped, replaced",KAK
8,VK1-10,1,8,M,16-Apr,23-Mar,10,Moja,GP,Kenya,L,2:50,100,59,29,0.63,,VMB
9,VK21-29,1,9,M,16-Apr,23-Mar,10,Moja,GP,Kenya,L,3:10,100,53,8,0.63,,SYL
10,LV1-22,1,10,M,16-Apr,23-Mar,10,Moja,GP,Gabon,L,3:30,100,46,7,0.63,,LPV
11,LBV1,1,11,M,16-Apr,23-Mar,10,Moja,GP,Gabon,L,3:50,100,40,11,0.63,,LBV
12,FCV1,1,12,M,16-Apr,23-Mar,10,Moja,GP,Gabon,L,4:15,37,24,2,0.63,,FCV
13,FCV1,2,1,Th,19-Apr,23-Mar,13,Mbili,GP,Gabon,R,9:50,37,8,0,0.59,,FCV
14,LBV1,2,2,Th,19-Apr,23-Mar,13,Mbili,GP,Gabon,R,10:15,98,41,7,0.59,,LBV
15,LV1-22,2,3,Th,19-Apr,23-Mar,13,Mbili,GP,Gabon,R,10:45,100,59,3,0.59,2 poops,LPV
16,VK21-29,2,4,Th,19-Apr,23-Mar,13,Mbili,GP,Kenya,R,11:05,100,65,2,0.59,,SYL
17,VK1-10,2,5,Th,19-Apr,23-Mar,13,Mbili,GP,Kenya,R,11:30,100,81,1,0.58,,VMB
18,CK1-5,2,6,Th,19-Apr,23-Mar,13,Mbili,GP,Kenya,R,12:00,90,37,2,0.58,,KAK
19,FS1-10,2,7,Th,19-Apr,23-Mar,13,Mbili,GP,Kenya,R,12:30,63,43,1,0.58,TOP OPEN,SHM
20,VS1-10,2,8,Th,19-Apr,23-Mar,13,Mbili,GP,Kenya,R,12:50,91,32,4,0.59,,KWA
21,FA1-20,2,9,Th,19-Apr,23-Mar,13,Mbili,GP,Kenya,R,1:45,100,37,0,0.59,,ABK
22,VA1-10,2,10,Th,19-Apr,23-Mar,13,Mbili,GP,Kenya,R,2:10,83,30,5,0.59,,GND
23,FR1-20A,2,11,Th,19-Apr,23-Mar,13,Mbili,GP,Kenya,R,2:30,100,52,14,0.59,,KBO
24,VR1-10B,2,12,Th,19-Apr,23-Mar,13,Mbili,GP,Kenya,R,2:50,100,53,5,0.59,,RAB
25,FCV1,3,2,F,20-Apr,23-Mar,14,Moja,GP,Gabon,R,8:40,41,10,1,0.6,,FCV
26,LBV1,3,4,F,20-Apr,23-Mar,14,Moja,GP,Gabon,R,9:40,100,43,3,0.61,,LBV
27,LV1-22,3,9,F,20-Apr,23-Mar,14,Moja,GP,Gabon,R,11:40,100,32,6,0.61,,LPV
28,VK21-29,3,12,F,20-Apr,23-Mar,14,Moja,GP,Kenya,R,3:20,100,37,11,0.61,,SYL
29,VK1-10,3,11,F,20-Apr,23-Mar,14,Moja,GP,Kenya,R,3:00,100,53,8,0.61,,VMB
30,CK1-5,3,10,F,20-Apr,23-Mar,14,Moja,GP,Kenya,R,12:00,83,25,6,0.62,,KAK
31,FS1-10,3,8,F,20-Apr,23-Mar,14,Moja,GP,Kenya,R,11:20,55,14,4,0.61,,SHM
32,VS1-10,3,6,F,20-Apr,23-Mar,14,Moja,GP,Kenya,R,10:30,79,18,5,0.6,,KWA
33,FA1-20,3,7,F,20-Apr,23-Mar,14,Moja,GP,Kenya,R,10:55,100,24,1,0.61,,ABK
34,VA1-10,3,5,F,20-Apr,23-Mar,14,Moja,GP,Kenya,R,10:00,59,9,3,0.6,,GND
35,FR1-20A,3,3,F,20-Apr,23-Mar,14,Moja,GP,Kenya,R,9:15,100,29,11,0.6,,KBO
36,VR1-10B,3,1,F,20-Apr,23-Mar,14,Moja,GP,Kenya,R,8:15,100,22,21,0.6,,RAB
37,VR11-20B,4,7,M,23-Apr,30-Mar,10,Mbili,GP,Kenya,L,1:10,99,47,13,0.63,,RAB
38,FR11-20B,4,6,M,23-Apr,30-Mar,10,Mbili,GP,Kenya,L,12:40,98,37,29,0.63,,KBO
39,VA11-20,4,13,M,23-Apr,30-Mar,10,Mbili,GP,Kenya,L,3:30,66,20,9,0.62,,GND
