"","Location","code","dens20","bio.bio15","bio.bio18","bio152050","bio182050","urbNEW","p2050","out2050climOnly","out2050PopOnly","out2050","out2000"
"1","Arabuko","ABK",288.5656601,71.82767283,172.1320755,68.9117647058823,212.529411764706,0,421.407115037467,-0.607470444758267,-0.568852187572993,-0.582270040148507,-0.594654684363219
"2","Awka","AWK",1086.13697,72.51059707,232.1724138,70.1470588235294,252.794117647059,1,3598.15108547876,-0.45420344604841,0.252405042408471,0.24278716534251,-0.446033386756766
"3","Bantata","BTT",12.29111826,125.4580349,49.88333333,121.985294117647,43.0735294117647,0,18.3238249018562,-0.446899295482239,-0.404617404963034,-0.445480348404432,-0.406097953542382
"4","Boabeng","BOA",67.03610703,64.17074665,242.5689655,62.4264705882353,265.661764705882,0,72.7913853442024,-0.663858291950155,-0.655673841794924,-0.662911923695906,-0.656636334921934
"5","Entebbe","ENT",881.7514147,41.60236134,357.3833333,45.7352941176471,530.647058823529,1,4646.17148148114,-0.628902588104386,0.399901160829158,0.350417750701195,-0.592809791113944
"6","Franceville","FCV",38.53881403,59.72094371,633.4827586,58.5294117647059,627.882352941176,0,29.6973085622021,-0.757135616084515,-0.758556451172638,-0.758241499492747,-0.757451809715016
"7","Ganda","GND",504.8404027,80.23465766,181.4888889,77.8529411764706,226.044117647059,1,1840.48526687192,-0.569910720007456,-0.229115174083273,-0.24974819140485,-0.554947076895665
"8","Kakamega","KAK",707.1652188,38.87252789,342.1578947,35.6911764705882,530.294117647059,1,2578.09628365611,-0.700549406129837,-0.195427120421734,-0.308540649718419,-0.633607556575045
"9","KayaBomu","KBO",1392.589404,66.18056095,239.7540984,58.9019607843137,191.705882352941,1,5076.9317701855,-0.362077626862058,0.596096144542071,0.606095670564541,-0.375604311565981
"10","Kedougou","KED",12.24971172,124.4395322,54.75409836,120.882352941176,46.5,0,18.2620960750817,-0.460410432724122,-0.420200803534828,-0.459017898447371,-0.421653649206436
"11","Kintampo","KIN",37.22657519,65.8939298,224.4098361,64.2549019607843,261.058823529412,0,40.4226033870053,-0.666572102265371,-0.655413214668698,-0.666050215536961,-0.655948291772566
"12","Kumasi","KUM",2264.553235,53.98502001,332.2833333,51,356.901960784314,1,5695.10603528274,-0.220874934659926,0.666702965543853,0.654364703310828,-0.199954853065997
"13","Kwale","KWA",184.8388694,62.88777675,166.4827586,57.8382352941176,174.058823529412,0,269.929604694052,-0.621426989100841,-0.59891291360277,-0.605849320038006,-0.614698947724057
"14","Libreville","LBV",799.5708642,68.75569961,880.5681818,69.8529411764706,1019.75,1,1569.87627058523,-0.738318487010668,-0.573807632649644,-0.617251569451302,-0.706119180733405
"15","LopeForest","LPF",1.265115514,69.94804265,562.137931,69.9019607843137,559.372549019608,0,0.974875361213215,-0.743186063237424,-0.743821337058487,-0.743224219010285,-0.743783256973498
"16","LopeVillage","LPV",1.265115511,69.39720818,553.4918033,70.0735294117647,546.279411764706,0,0.974875361213215,-0.740311842419605,-0.741986906897181,-0.740350361618295,-0.741948594482362
"17","Mindin","MIN",53.60547457,140.4319175,59.95081967,134.014705882353,52.4117647058824,0,79.9160286054392,-0.248886288343526,-0.0893309923043148,-0.241624328378711,-0.0969906620986593
"18","Ngoye","NGO",232.6737489,157.7607664,135.7142857,150.411764705882,140.450980392157,0,346.874306790841,0.232173005422834,0.515088326483438,0.263646221328731,0.490024977625664
"19","Ouaga","OGD",2153.800419,119.7569115,108.7166667,116.573529411765,97.5,1,9364.17709912539,0.0531068580912579,0.975908953633659,0.974296439433683,0.0857486196280235
"20","Ouahi","OHI",172.5973732,130.5580757,114.35,128.544117647059,98.25,0,283.128085405359,-0.33946209346121,-0.282282805063176,-0.310432768451733,-0.311874896994523
"21","PK10","PKT",12.29111819,124.9359484,52.5,121.632352941176,44.2205882352941,0,18.3238249018562,-0.451325388218643,-0.412745719668843,-0.449913479071182,-0.414214485051908
"22","Rabai","RAB",1291.359784,65.52567708,238.85,58.3529411764706,191.960784313725,1,4707.88122852145,-0.388554772712646,0.52176522666216,0.532230785226479,-0.400787602306719
"23","Shimba","SHM",187.1339046,64.94664341,133.8793103,59.5294117647059,177.044117647059,0,273.281162532456,-0.620080040339546,-0.586913924278514,-0.604263521145823,-0.603252372393688
"24","Shinyalu","SYL",727.4551931,38.05332603,372.0983607,34.9529411764706,546.517647058824,1,2652.06698408006,-0.705358655607686,-0.195390869966499,-0.30286807220549,-0.642927201201845
"25","Thies","THI",421.1161584,159.7975303,325.0819672,152.161764705882,286.970588235294,1,1345.28909712206,0.278881706802159,0.697938364961534,0.506399921425306,0.531233744938082
"26","Virembe","VMB",671.6369002,38.33872117,378.5166667,34.4313725490196,547.117647058824,1,2448.57149267732,-0.716346278387594,-0.252696895776515,-0.36119281775567,-0.65278361199803
"27","Zika","ZIK",1588.708149,40.19614647,336.4310345,43.9264705882353,414.691176470588,1,8371.3055275114,-0.451370992193521,0.908174655686056,0.906130581430466,-0.442131141036135
